transaction_id,customer_id,product_category,product_subcategory,quantity,unit_price,total_amount,placement_score
TXN_000001,CUST_0058,Dairy,Cheese,4,6.93,27.72,73.1
TXN_000001,CUST_0058,Meat,Chicken,1,5.41,5.41,37.6
TXN_000001,CUST_0058,Snacks,Crackers,3,3.8,11.4,74.4
TXN_000001,CUST_0058,Personal_Care,Toothpaste,1,2.91,2.91,40.8
TXN_000002,CUST_0045,Personal_Care,Soap,1,1.87,1.87,71.9
TXN_000002,CUST_0045,Personal_Care,Shampoo,1,6.93,6.93,82.5
TXN_000002,CUST_0045,Personal_Care,Toothpaste,1,4.36,4.36,55.5
TXN_000002,CUST_0045,Snacks,Crackers,2,2.14,4.28,66.6
TXN_000002,CUST_0045,Dairy,Cheese,2,4.68,9.36,73.2
TXN_000003,CUST_0230,Personal_Care,Soap,1,1.37,1.37,67.7
TXN_000003,CUST_0230,Personal_Care,Shampoo,1,4.28,4.28,68.2
TXN_000003,CUST_0230,Produce,Onions,2,1.47,2.94,100.0
TXN_000003,CUST_0230,Pantry,Pasta,2,2.32,4.64,84.7
TXN_000003,CUST_0230,Meat,Beef,4,8.88,35.52,100.0
TXN_000003,CUST_0230,Pantry,Cereals,1,3.14,3.14,56.9
TXN_000004,CUST_0053,Produce,Apples,3,2.04,6.12,41.3
TXN_000004,CUST_0053,Produce,Lettuce,1,2.31,2.31,47.6
TXN_000004,CUST_0053,Dairy,Yogurt,1,2.48,2.48,56.9
TXN_000004,CUST_0053,Personal_Care,Soap,3,1.6,4.8,52.2
TXN_000005,CUST_0064,Pantry,Cereals,1,4.08,4.08,87.5
TXN_000005,CUST_0064,Dairy,Milk,1,4.73,4.73,82.9
TXN_000005,CUST_0064,Household,Toilet_Paper,1,13.11,13.11,88.8
TXN_000005,CUST_0064,Pantry,Spices,1,6.38,6.38,61.7
TXN_000005,CUST_0064,Household,Paper_Towels,1,8.84,8.84,72.4
TXN_000005,CUST_0064,Pantry,Pasta,2,2.64,5.28,75.0
TXN_000006,CUST_0041,Bakery,Bagels,2,3.86,7.72,100.0
TXN_000006,CUST_0041,Pantry,Spices,1,2.65,2.65,45.7
TXN_000006,CUST_0041,Dairy,Cream,1,3.02,3.02,92.6
TXN_000006,CUST_0041,Beverages,Coffee,4,6.75,27.0,100.0
TXN_000006,CUST_0041,Bakery,Muffins,1,2.15,2.15,75.9
TXN_000007,CUST_0037,Personal_Care,Deodorant,1,7.65,7.65,64.0
TXN_000007,CUST_0037,Frozen,Frozen_Pizza,3,7.21,21.63,78.3
TXN_000007,CUST_0037,Produce,Onions,1,2.34,2.34,100.0
TXN_000007,CUST_0037,Meat,Beef,3,11.18,33.54,90.4
TXN_000008,CUST_0286,Bakery,Bagels,1,3.85,3.85,87.4
TXN_000008,CUST_0286,Dairy,Butter,1,4.78,4.78,57.1
TXN_000008,CUST_0286,Dairy,Cream,1,2.44,2.44,77.3
TXN_000009,CUST_0162,Pantry,Spices,1,5.11,5.11,63.6
TXN_000009,CUST_0162,Pantry,Canned_Goods,2,1.73,3.46,100.0
TXN_000009,CUST_0162,Pantry,Pasta,1,1.93,1.93,81.6
TXN_000009,CUST_0162,Frozen,Frozen_Vegetables,1,3.22,3.22,79.7
TXN_000009,CUST_0162,Meat,Fish,1,18.81,18.81,100.0
TXN_000009,CUST_0162,Pantry,Cereals,1,3.43,3.43,62.7
TXN_000009,CUST_0162,Frozen,Frozen_Meals,1,5.69,5.69,59.9
TXN_000009,CUST_0162,Beverages,Water,3,1.24,3.72,62.6
TXN_000010,CUST_0186,Bakery,Bagels,2,4.07,8.14,100.0
TXN_000010,CUST_0186,Produce,Lettuce,1,2.75,2.75,87.1
TXN_000010,CUST_0186,Dairy,Cream,1,3.18,3.18,90.5
TXN_000010,CUST_0186,Produce,Tomatoes,2,2.03,4.06,65.6
TXN_000010,CUST_0186,Beverages,Coffee,2,6.22,12.44,78.5
TXN_000011,CUST_0217,Personal_Care,Deodorant,1,7.68,7.68,66.9
TXN_000011,CUST_0217,Personal_Care,Toothpaste,1,4.77,4.77,62.9
TXN_000011,CUST_0217,Dairy,Milk,3,3.52,10.56,72.4
